OBJECTID,name,alternate_name,category,subcategory,address1,address2,address3,address4,address5,lat,lon,POINT_Z
597,Kilmanagh Health Centre,Kilmanagh,Health Centre,,Chapel Lane,Kilmanagh,Co. Kilkenny,R95 YT25,,-7.42692640622424,52.6198609428242,
598,Kilmeaden Health Centre,Kilmeaden,Health Centre,,Kilmeaden,Co. Waterford,X91 P030,,,-7.24129797626336,52.2318249872851,
599,Kilmeague,Kilmeague,Health Centre,,Kilmeague,Co. Kildare.,,,,-6.84098614962418,53.2503322958938,
600,"Kilmeedy Health Centre,",Kilmeedy,Health Centre,,Kilmeedy,Co. Limerick,V42 PY70,,,-8.91610636400767,52.4152015251001,
601,Kilmihil Health Centre,Kilmihil,Health Centre,,Main Street,Kilmihil,Co. Clare,V15 W019,,-9.31710120041864,52.7202317817406,
602,Kilmogann,Kilmoganny,Health Centre,,Mill Street,Kilmoganny,Co. Kilkenny,R95 W7XN,,-7.32828220185583,52.461766389835,
603,Kilmovee Community Centre (Ballaghaderreen),Kilmovee,Health Centre,,Kilmovee Community Centre,Kilmovee,Ballaghaderreen,Co. Mayo,F45 HE62,-8.68777148645058,53.8903712704549,
604,Kilmurray,Kilmurray,Health Centre,,Kilmurray,Macroom,Co. Cork.,,,-8.88173712935939,51.842513624946,
605,Kilrush Community Hospital,Kilrush,Health Centre,,Cooraclare Road,Kilrush,Co. Clare,V15 CH98,,-9.48424301778963,52.6417117470838,
606,Kilrush Health Centre,,Health Centre,NULL,Fahy's Road,Kilrush,Co. Clare,V15 FV18,,-9.48736115727737,52.6411229774852,
607,Kiltegan,Kiltegan,Health Centre,,Kiltegan,Co. Wicklow.,,,,-6.60637881613844,52.905151211444,
608,Kiltimagh Health Centre,Kiltimagh,Health Centre,,Cordarragh,Kiltimagh,Co. Mayo,F12 X295,,-9.00192525908098,53.8464199645888,
609,Kiltormer Health Centre,Kiltormer,Health Centre,,Mount Prospect,Kiltormer,Ballinasloe,Co. Galway,H53 R223,-8.26542443864283,53.2345125526765,
610,Kiltyclogher Health Centre,Kiltyclogher,Health Centre,,Main Street,Kiltyclogher,Co. Leitrim,F91 CD50,,-8.03831346535472,54.3558610579957,
611,Kilworth,Kilworth,Health Centre,,Main Street,Kilworth,Co. Cork.,,,-8.24477169595045,52.175640815069,
612,Kingscourt Primary Care Centre,Kingscourt,Health Centre,,Kingscourt Medical Centre,Kells Road,Kingscourt,Co. Cavan,A82 R2V8,-6.8078887865861,53.9021268170724,
613,Kinnitty Health Centre,Kinnity,Health Centre,,Castletown,Kinnitty,Birr,Co. Offaly,R42 FT85,-7.715715923414,53.098309592468,
614,Kinsale Primary Care Centre,Kinsale,Health Centre,,Kinsale Quarter,New Road,Kinsale,Co. Cork,P17 RY11,-8.52162317973269,51.708049453876,
615,Kinvara Health Centre,Kinvara,Health Centre,,HSE,Dungory West,Kinvara,Co. Galway,H91 K5X4,-8.93279996983318,53.1396647833937,
616,Kiskeam,Kiskeam,Health Centre,,Community Centre,Kiskeam,Co. Cork.,,,-9.15489740150321,52.1765853775537,
617,Knightsbridge Medical Centre PCC,,Health Centre,NULL,Trim Primary Care Centre,Knightsbridge Village,Trim,Co. Meath,C15 PHP1,-6.79740225999779,53.5460145563308,
618,Knock Health Centre,,Health Centre,NULL,Knock Medical Centre,Knock,Co. Mayo,F12 PA03,,-8.91939054180436,53.7904939267569,
619,Knockanore,Knockanore,Health Centre,,Knockanore,Co. Waterford.,,,,-7.89196861519497,52.0543876157077,
620,Knocknagoshel,Knocknagoshel,Health Centre,,Community Centre,Knocknagoshel,Co. Kerry,,,-9.38487015935154,52.3306125068378,
