record_id,constituency,local_authority,register_reference,address_or_description,description,eircode,latitude,longitude,site_count,location_category,location_source,location_precision,source_x,source_y,source_coordinate_system,source_geometry_type,date_entered,valuation,source_url,source_date,retrieved_date,source_format,acquisition_method,extraction_quality
IE-DS-bd5ec781549aa2,Limerick County,Limerick City and County Council,DS-051-20,"4 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5175684,-8.9301288,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536872,641095,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-02f75e125d408a,Limerick County,Limerick City and County Council,DS-052-20,"5 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing site, Never Occupied",,52.5176149,-8.9299235,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536886,641100,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-9b98b2da364665,Limerick County,Limerick City and County Council,DS-053-20,"6 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing site, Never Occupied",,52.5176692,-8.9298804,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536889,641106,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-4b517d4402f9d0,Limerick County,Limerick City and County Council,DS-054-20,"7 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5176976,-8.9296895,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536902,641109,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-7f19beafe31139,Limerick County,Limerick City and County Council,DS-055-20,"8 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5177702,-8.9296026,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536908,641117,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-f9de901c2e0170,Limerick County,Limerick City and County Council,DS-056-20,"9 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5178076,-8.9294266,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536920,641121,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-9622c75196d37b,Limerick County,Limerick City and County Council,DS-057-20,"10 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5178798,-8.9293839,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536923,641129,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-8ec0fd87fc1f47,Limerick County,Limerick City and County Council,DS-058-20,"11 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing site, Never Occupied",,52.5178991,-8.9292222,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536934,641131,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-bb4de0ce385794,Limerick County,Limerick City and County Council,DS-059-20,"12 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing site, Never Occupied",,52.517972,-8.9290912,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536943,641139,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
IE-DS-17e43e48bf4b31,Limerick County,Limerick City and County Council,DS-060-20,"13 Ballywilliam Close, Ballywilliam North, Rathkeale, Co. Limerick","Unfinished Housing estate, Never Occupied",,52.5180271,-8.928945,1,Transformed grid reference,authority_supplied_itm_transformed,site_point,536953,641145,EPSG:2157,,2020-07-20,0,https://www.limerick.ie/sites/default/files/media/documents/2026-03/derelict-site-register-2026.pdf,2026-03-01,2026-08-08,PDF,pdf_table_extraction,structured_pdf_auto
