incident_id,date,year,time_band,longitude,latitude,constituency,constituency_slug,electoral_district,electoral_district_guid,incident_type,incident_count,fatality_count,serious_injury_count,non_serious_injury_count,casualty_count,cyclist_count,driver_count,e_scooter_other_count,motorcyclist_count,passenger_count,pedestrian_count
10931,2017-11-01,2017,4am-7.59am,-6.259743333,53.655331666,Meath East,meath-east,Julianstown,2ae19629-18bd-13a3-e055-000000000001,Serious,1,0,1,1,2,0,2,0,0,0,0
10932,2017-11-01,2017,12pm-3.59pm,-6.117173333,53.548493333,Dublin Fingal West,dublin-fingal-west,Holmpatrick,2ae19629-1d95-13a3-e055-000000000001,Serious,1,0,1,0,1,0,1,0,0,0,0
10933,2017-11-01,2017,8am-11.59am,-7.522545,54.842141666,Donegal,donegal,Clonleigh South,2ae19629-209b-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,2,0,0,0,0
10934,2017-11-01,2017,4am-7.59am,-6.114355,53.188098333,Wicklow,wicklow,Kilmacanoge,2ae19629-1e78-13a3-e055-000000000001,Non-serious,1,0,0,1,1,1,0,0,0,0,0
10935,2017-11-01,2017,12pm-3.59pm,-6.6127,53.37197,Kildare North,kildare-north,Maynooth,2ae19629-2240-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10936,2017-11-01,2017,12pm-3.59pm,-7.133073333,52.253755,Waterford,waterford,Ticor North,2ae19629-1bbe-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10937,2017-11-01,2017,12pm-3.59pm,-7.994913333,53.455578333,Roscommon-Galway,roscommon-galway,Kiltoom,2ae19629-199a-13a3-e055-000000000001,Non-serious,1,0,0,2,2,0,1,0,0,1,0
10938,2017-11-01,2017,4pm-7.59pm,-8.423895,51.877541666,Cork South-Central,cork-south-central,Carrigaline/Monkstown Rural/Douglas,591bceee-1721-4c8d-865f-1e0bd869b6ad,Non-serious,1,0,0,1,1,0,1,0,0,0,0
10939,2017-11-01,2017,12pm-3.59pm,-6.135563333,53.28029,Dún Laoghaire,dun-laoghaire,Dun Laoghaire-Glenageary,2ae19629-1d3c-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,0,0,0,0,1
10940,2017-11-01,2017,12pm-3.59pm,-8.29462,51.890675,Cork East,cork-east,Cobh Rural,2ae19629-1f3f-13a3-e055-000000000001,Non-serious,1,0,0,1,1,0,1,0,0,0,0
